,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,15321.51337,Rbmb6 HD:Het,13 weeks,4260354,Female,day_two
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,108.312,Rbmb6 HD:Het,8 weeks,4260354,Female,day_two
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,8983.164624,Rbmb6 HD:Het,8 weeks,4260354,Female,day_two
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,206.544,Rbmb6 HD:Het,8 weeks,4277842,Female,day_two
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,8445.252515,Rbmb6 HD:Het,8 weeks,4277842,Female,day_two
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,53.732,Rbmb6 HD:WT,13 weeks,4281948,Female,day_two
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,6914.762851,Rbmb6 HD:WT,13 weeks,4281948,Female,day_two
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,30.72,Rbmb6 HD:WT,13 weeks,4283161,Male,day_two
"(4283161, 'Male', '13 weeks', 'distance (mm)')",Distance,7509.784442,Rbmb6 HD:WT,13 weeks,4283161,Male,day_two
"(4283161, 'Male', '15-16 weeks', 'Climbing')",Climbing,10.8,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_two
"(4283161, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5642.349442,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_two
"(4283161, 'Male', '8 weeks', 'Climbing')",Climbing,114.48,Rbmb6 HD:WT,8 weeks,4283161,Male,day_two
"(4283161, 'Male', '8 weeks', 'distance (mm)')",Distance,7335.317185,Rbmb6 HD:WT,8 weeks,4283161,Male,day_two
"(4283163, 'Male', '13 weeks', 'Climbing')",Climbing,2.70208,Rbmb6 HD:WT,13 weeks,4283163,Male,day_two
"(4283163, 'Male', '13 weeks', 'distance (mm)')",Distance,4301.912124,Rbmb6 HD:WT,13 weeks,4283163,Male,day_two
"(4283163, 'Male', '15-16 weeks', 'Climbing')",Climbing,43.632,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_two
