,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4193912, 'distance (mm)', 'Light', '7 months')",Distance,1317.624574,C57BL6/J,7 months,4193912,Light,Male,day_two
"(4240953, 'Climbing', 'Dark', '12 months')",Climbing,16.796,C57BL6/J,12 months,4240953,Dark,Female,day_two
"(4240953, 'Climbing', 'Dark', '3 months')",Climbing,35.487,C57BL6/J,3 months,4240953,Dark,Female,day_two
"(4240953, 'Climbing', 'Dark', '7 months')",Climbing,44.794,C57BL6/J,7 months,4240953,Dark,Female,day_two
"(4240953, 'Climbing', 'Light', '12 months')",Climbing,2.264,C57BL6/J,12 months,4240953,Light,Female,day_two
"(4240953, 'Climbing', 'Light', '3 months')",Climbing,4.533,C57BL6/J,3 months,4240953,Light,Female,day_two
"(4240953, 'Climbing', 'Light', '7 months')",Climbing,9.97,C57BL6/J,7 months,4240953,Light,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '12 months')",Distance,3141.7304,C57BL6/J,12 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '3 months')",Distance,4523.961835,C57BL6/J,3 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Dark', '7 months')",Distance,3390.526651,C57BL6/J,7 months,4240953,Dark,Female,day_two
"(4240953, 'distance (mm)', 'Light', '12 months')",Distance,1450.562115,C57BL6/J,12 months,4240953,Light,Female,day_two
"(4240953, 'distance (mm)', 'Light', '3 months')",Distance,1380.88007,C57BL6/J,3 months,4240953,Light,Female,day_two
