,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,34.32,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_one
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,16024.20591,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_one
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,14.64,Rbmb6 HD:WT,8 weeks,4366282,Male,day_one
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,9858.371253,Rbmb6 HD:WT,8 weeks,4366282,Male,day_one
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,0.816,Rbmb6 HD:Het,13 weeks,4366286,Male,day_one
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,89.64744663,Rbmb6 HD:Het,13 weeks,4366286,Male,day_one
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_one
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1141.814335,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_one
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,1.344,Rbmb6 HD:Het,8 weeks,4366286,Male,day_one
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,2766.230483,Rbmb6 HD:Het,8 weeks,4366286,Male,day_one
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,131.344,Rbmb6 HD:WT,13 weeks,4192216,Male,day_two
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,8231.511719,Rbmb6 HD:WT,13 weeks,4192216,Male,day_two
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,84.816,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_two
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,10164.07546,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_two
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,14.952,Rbmb6 HD:WT,8 weeks,4192216,Male,day_two
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,4113.97394,Rbmb6 HD:WT,8 weeks,4192216,Male,day_two
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,3.408,Rbmb6 HD:Het,13 weeks,4200742,Male,day_two
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,6579.370529,Rbmb6 HD:Het,13 weeks,4200742,Male,day_two
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,3.072,Rbmb6 HD:Het,8 weeks,4200742,Male,day_two
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,3119.84997,Rbmb6 HD:Het,8 weeks,4200742,Male,day_two
"(4247842, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4247842,Female,day_two
"(4247842, 'Female', '13 weeks', 'distance (mm)')",Distance,540.2857788,Rbmb6 HD:Het,13 weeks,4247842,Female,day_two
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,0.624,Rbmb6 HD:Het,13 weeks,4249098,Female,day_two
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,2882.523901,Rbmb6 HD:Het,13 weeks,4249098,Female,day_two
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,11.856,Rbmb6 HD:Het,8 weeks,4249098,Female,day_two
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,6431.864464,Rbmb6 HD:Het,8 weeks,4249098,Female,day_two
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,114.848,Rbmb6 HD:WT,13 weeks,4259251,Female,day_two
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,11776.11616,Rbmb6 HD:WT,13 weeks,4259251,Female,day_two
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,67.496,Rbmb6 HD:WT,8 weeks,4259251,Female,day_two
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,14043.05522,Rbmb6 HD:WT,8 weeks,4259251,Female,day_two
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4260354,Female,day_two
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,733.6373478,Rbmb6 HD:Het,13 weeks,4260354,Female,day_two
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,2.16,Rbmb6 HD:Het,8 weeks,4260354,Female,day_two
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,5264.465872,Rbmb6 HD:Het,8 weeks,4260354,Female,day_two
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4277842,Female,day_two
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,3508.341614,Rbmb6 HD:Het,8 weeks,4277842,Female,day_two
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,100.296,Rbmb6 HD:WT,13 weeks,4281948,Female,day_two
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,11012.96516,Rbmb6 HD:WT,13 weeks,4281948,Female,day_two
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,3.84,Rbmb6 HD:WT,13 weeks,4283161,Male,day_two
"(4283161, 'Male', '13 weeks', 'distance (mm)')",Distance,2492.50612,Rbmb6 HD:WT,13 weeks,4283161,Male,day_two
"(4283161, 'Male', '15-16 weeks', 'Climbing')",Climbing,18.672,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_two
"(4283161, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4872.666748,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_two
"(4283161, 'Male', '8 weeks', 'Climbing')",Climbing,22.952,Rbmb6 HD:WT,8 weeks,4283161,Male,day_two
"(4283161, 'Male', '8 weeks', 'distance (mm)')",Distance,4632.526605,Rbmb6 HD:WT,8 weeks,4283161,Male,day_two
"(4283163, 'Male', '13 weeks', 'Climbing')",Climbing,11.82912,Rbmb6 HD:WT,13 weeks,4283163,Male,day_two
"(4283163, 'Male', '13 weeks', 'distance (mm)')",Distance,1609.699823,Rbmb6 HD:WT,13 weeks,4283163,Male,day_two
"(4283163, 'Male', '15-16 weeks', 'Climbing')",Climbing,3.648,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_two
